origin: C1N(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)C1, cl: C1N(CCN(C)CCN(C)C1)C, target: C1N(C)CCN(C)CCN(C)C1
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: CN1CCN(C)CCCN(CCN(C)CCC1)C, target: C1CN(C)CCN(C)CCN1C
origin: C1CCC2C(CCCC2)[N+]1(C)C, cl: C[N+]1(C)C2CC(C1)(C)CC(C)(C)C2, target: [N+]1(C)(C)[C@H](C)CCC[C@@H]1C
origin: C1CCC2[N+](C)(C)CCCC2C1, cl: [C@@[N+]1(C2CCCC1CC2)C, target: C[C@@H]1[N+](C)(C)[C@H](C)CCC1
origin: C[N+]1(C)C2C(CCCC2)CCC1, cl: [N+]1(C)(C)CCCC2C1CCC2, target: [C@H]1(C)[N+](C)(C)[C@@H](C)CCC1
origin: C1CCC2CCCCC2[N+]1(C)C, cl: C[N+]1(C)CC(C)CC(C1)C, target: [N+]1(C)(C)C[C@H](C)C[C@H](C)C1
origin: C1CCC2CCCCC2[N+]1(C)C, cl: C[N+]1(C)CC2CC3CC1CC(C2)C3, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: C1CCC2C(CCCC2)[N+]1(C)C, cl: [C@H2C(CCCC[N+]1(C)C)CCCC2, target: [N+]1(C)(C)C[C@@H](C)C[C@@H](C)C1
origin: C1CC2CCCCC2[N+](C)(C)C1, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C1C(C)C[N+](C)(C)CC1C, cl: CC1C[N+](C)(C)CC(C)C1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C12C3C=CC(C4C3C[N+](CC)(CC)C4)C1C[N+](CC)(CC)C2, cl: CC1CC(C[N+](CC)(C1)CC)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: CC(C)N(CC)C(C)C, cl: CC[N+](C)(CC)C, target: C(C)[N+](CC)(CC)CC
origin: C1C(C)[N+](C)(CC)C(C)CC1, cl: CC1C[N+](C)(C)CC(C1)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C1(C)(C)C2CC1[N+](C)(C)CCC2, cl: C1(C)(C2CC1[N+](CCC2C)(C)C)C, target: C1C(C)C[N+](C)(C)CC1C
origin: CC1CCCC(C)[N+]1(CC)C, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C(C)[N+]1(C(CCCC1C)C)CC, target: CC[P+](CC)(CC)CC
origin: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C, cl: C(C)[N+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C(C)[N+]1(CC)C(C)CCCC1C, target: CC[P+](CC)(CC)CC
origin: C(C)(N(C(C)C)CC)C, cl: C(C)(C)N(C(C)C)CC, target: CC(N(C(C)C)CC)C
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C[C@1CCCC([N+]1(C)C)C, target: C1[C@H](C)C[NH2+]C[C@@H]1C
origin: C1CC2CCC[N+](C)(C)C2C1, cl: C1C[N+]2(CC1)CCCC1CCCCC21, target: C1CC[C@H](C)[NH2+][C@@H]1C
origin: C(NCC)C, cl: C(N(CCO)CCO)CO, target: C(N(C(C)C)CC)(C)C
origin: C(N(CC)CC)C, cl: CC(C)N(CC)C(C)C, target: C(C)(C)N(CC)C(C)C
origin: CC(C)(C)N(CC)C(C)C, cl: N(C(C)C)(CC)C(C)C, target: CC(C)N(C(C)C)CC
origin: C1CC[N+](C)(C)C2C(CCCC2)C1, cl: C1C(C)[N+](C)(C)C(C)CC1, target: C1C(C)CC(C)C[N+]1(C)C
origin: C(C)(C)N(CC)C(C)C, cl: [N+]1(C)(CCCCC[N+]2(C)CCCC2)CCCC1, target: C([N+](CC)(CC)CC)C
origin: C([n+]1ccn(C)c1)C, cl: C([N+]1(C)CCCC1)CCCC[N+]1(CCCC1)C, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1N, cl: C(C)(C)N(CC)C(C)C, target: C(N(C(C)C)CC)(C)C
origin: C1CCC(N)CC1, cl: C(N(C(C)C)C(C)C)C, target: CC(N(CC)C(C)C)C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C1C(C)(C[N+](C)(CC1C)C)C, target: C1(C)(C)[N+](CC)(C)C(C)(C)CCC1
origin: C(C)(N(C(C)C)CC)C, cl: CC(C)N(C(C)C)CC, target: C(C)(C)N(C(C)C)CC
origin: C1C(C)[N+](C)(CC)C(C)CC1, cl: C(C)[N+]1(C(C)CCCC1C)CC, target: C1[C@H](C)[N+](CC)(CC)[C@H](C)CC1
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C1(C)C[N+](C)(C)CC(C1)C, target: C1[N+](C)(C)CC(C)CC1C
origin: C(C)(C)N(CC)C(C)C, cl: CC(C)N(CC)C(C)C, target: C(C)(N(C(C)C)CC)C
origin: C(C)N(CC)CCO, cl: CCN(CCO)CCO, target: C(C)(C)N(CC)C(C)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1[N+](CCC1)(CCCCC[N+]1(C)CCCC1)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C(N(CCO)CCO)CO, cl: CCN(CC)CC, target: C(C)N(C(C)C)C(C)C
origin: C(C)[N+](CC)(CC)CC, cl: C1C(N)CCCC1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C[n+]1cc(C)n(C)c1, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: CC1(C)CC(C)NCCNC(C)(C)CC(C)NCCN1, cl: CC(C)N(C(C)C)CC, target: C(N(C(C)C)CC)(C)C
origin: C1(C)(C)CC(C)NCCNC(C)(C)CC(C)NCCN1, cl: C(C)[N+](CC)(C)C, target: CCN(C(C)C)C(C)C
origin: C1CCC(C)[N+](C)(CC)C1C, cl: C1[N+]2(CC(C)CC(C2)C)C(C)CC1, target: C1[C@H](C)C[NH2+]C[C@H]1C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1[C+]2(CC(C)CC(C)C2)C(C)CC1, target: C1C[C@H](C)[NH2+][C@H](C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: [N+]1(CC)(CC)CC(CC(C)C1)C, target: C1(C)CCCC(C)[N+]1(C)C
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1CC([N+](CC)(C)C(C1)C)C, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1(C)CC(C[N+](C)(C)C1)C, target: C1CC(C)[N+](C)(CC)C(C)C1
origin: C(C)(C)N(CC)C(C)C, cl: n1(C)cc[n+](CC)c1, target: c1cn(C)c[n+]1CC
origin: C1C(C)(C)[N+](CC)(C)C(C)(C)CC1, cl: C1C(C)C[N+](C)(C)CC1C, target: C1[N+](C)(C)CC(C)CC1C
origin: C1C(N)CCCC1, cl: NCCNCCNCCNCCN, target: C(NCCNCCN)CN
origin: C(N)CNCCNCCNCCN, cl: C(CNCCN)NCCN, target: C(CN)NCCCNCCN
origin: [n+]1(C)ccn(C)c1, cl: [C@H+](C)(C)C, target: N1[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCC1
origin: C1CCCC(N2CCCCC2)C1, cl: [C@@CC[n+]1ccn(c1)C, target: C1[C@H](C)NCCNC(C)(C)C[C@H](C)NCCNC1(C)C
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C, target: [N+]1(C)(C)C[C@@H](C)C[C@@H](C)C1
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1[N+](C)(C)CC2C3C4C5C(C[N+](C)(C)C5)C(C=C4)C21, target: C1[C@@H](C)C[C@H](C)C[N+]1(C)C
origin: C1C2C(CCCC2)[N+](C)(C)CC1, cl: CC1CC(C[N+](C)(C)C1)C, target: C1C(C)C[N+](C)(C)CC1C
origin: C([N+]1(C)C(C)CCCC1C)C, cl: [N+]1(C)(C)CC(C)CC(C)C1, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C1CCC(C)[N+](C)(C1C)C, target: C1C2CCCC([N+]2(C)C)CC1
origin: C1C(C)[N+](CC)(CC)C(C)CC1, cl: C([N+]1(CC)C(C)CCCC1C)C, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1[N+](C)(C)CC2C3C4C5C[N+](C)(C)CC4C4C(C=C3)C21, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC1(C)C2CC1[N+](C)(C)CCC2C, cl: C(C)[N+]1(C)C(C)CCCC1C, target: CC[P+](CC)(CC)CC
origin: C1(C)(C)C2CC1CCC[N+]2(CC)CC, cl: C1C(C[N+](C)(C)CC1C)C, target: CC1CCCC(C)[N+]1(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C(C)[N+]1(CC)CC2C3C4C(C[N+](CC)(CC)C4)C2C1, target: C1(C)(C)[N+](C)(CC)C(C)(C)CCC1
origin: C1CCC2CC(C2(C)C)[N+]1(C)C, cl: C1(C)CC(C[N+](C)(C)C1)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C12CC3CC([N+](C)(C)C)(C1)CC(C2)C3, cl: C1(C)[N+](C)(CC)CCCC1, target: C1CCC(C)[N+](C)(C)C1C
origin: C1(C)CCCC(C)[N+]1(C)C, cl: C1C[N+](C)(C)C2CCCC2CC1, target: CC1(C)C2CCC[N+](C)(C)C1C2
origin: C1C2CC3CC1CC([N+](C)(C)C3)C2, cl: C12(CC3CC(C1)CC(C3)C2)[N+](C)(C)C, target: [N+]1(C)(C)CC2(C)CC1CC(C)(C)C2
origin: C1C(C)C[N+](C)(C)CC1C, cl: [N+]1(CC)(CC)CC2C(C1)C1C3C[N+](CC3C2C=C1)(CC)CC, target: CC1(C)C2CCC[N+](C)(C)C1C2
origin: C1C(C)C[N+](C)(C)CC1C, cl: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3, target: C[N+]1(C)CCC(C)C2C(C)(C)C1C2
origin: C1(C)(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: CC(N(C(C)C)CC)C, target: C(C)(N(CC)C(C)C)C
origin: C1CCCC(C)C1N, cl: C(C)[N+](C)(C)C, target: CC(C)N(CC)C(C)C
origin: C1CCCCC1N, cl: N(C(C)C)(CC)C(C)C, target: N(CC)(C(C)C)C(C)C
origin: C1CCC(C)(C)NC1(C)C, cl: C[n+]1cn(C)cc1, target: c1n(CC)c[n+](C)c1
origin: CC(C)N(CC)C(C)C, cl: N(C(C)C)(CC)C(C)C, target: CC(C)N(CC)C(C)C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: CC[P+](CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: CC1(C)CCC[N+](C)(C(C)C)C1, cl: C1C(C)[N+](C)(CCC1)CC, target: C1[N+](C)(C)CC(C)CC1C
origin: CC1(C)C[N+](C)(C(C)C)CCC1, cl: C[N+]1(C)CC(C)CC(C1)C, target: C1(CC)CCCC[N+]1(C)C
origin: CC1(C)C[N+](C)(C)CC(C)(C)C=C1, cl: C[N+]1(C)CC(C)(C)CCC1, target: C1(C)[N+](CC)(C)C(C)CCC1
origin: C1CC[N+]2(C(C)CCCC2C)C1, cl: C1CCC(C)[N+](C1C)(CC)CC, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1CCC(C)(C)C[N+]12CCCC2, cl: [N+]1(C)(CCCC(C)(C)C1)C, target: C1CC[N+]2(C(C)CCCC2C)C1
origin: C1C(C)[N+](C)(CC)C(C)CC1, cl: C[N+]1(C)CC(C)(C)C=CC(C1)(C)C, target: CC1(C)C[N+](C)(C)CC(C)(C)C=C1
origin: C(C)(N(C(C)C)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(CO)N(CCO)C, cl: C(C)(N(C(C)C)CC)C, target: CC(C)N(C(C)C)CC
