origin: C1N(C)CCN(C)CC2, cl: C1CN(C)CCN(C)CCN(CCN(CCN(CCN1C)C)C)C)C, target: C1N(C)CCN(C)CCN(C)C1
origin: N1(C)CCN(C)CCCCC1, cl: N1(C)CCN(C)CCCN(CCN(CCC1)C)C, target: N1(C)CCN(C)CCN(C)CC1
origin: C1[C@H](C)(C)CC2CC2(C)CC1CC2C, cl: C1CC[C@H]2N1CC1CCCC2C1, target: C1[C@H](C)[N+](C)(C)[C@H](C)CC1
origin: [N+]1(C)(CCCCCCCC3)CC[N+]1(C)CCCC2C2CCCCC1, cl: C1C[C@H](C2CCC1C2)[n+]1ccn(c1)C1C2CC(C1)CC2, target: [N+]1(C)(C)[C@@H](C)CCC[C@H]1C
origin: C1C[C@H](C)(CCCCCC2)CC[N+]2(C)CCCC1, cl: C[N+]1(C)CC2CCC1C1CCC2C1, target: C1C[C@H](C)[N+](C)(C)[C@H](C)C1
origin: C[C@H]1C[N+]1(CCCCCCCCCCCCCCC[N+](CC)(C)C)CCCCC2, cl: [C@@H]1(CC2[N+](C)(CC(C2)C1)CC)C, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: [N+]1(C)(CCCCCCCCCCC[N+](C)(C)C)CCC1, cl: [N+]1(C)(C)C(CCCC1C)C, target: [N+]1(C)(C)C[C@H](C)C[C@H](C)C1
origin: C1[C@@H](C)(CCCCC(C)C)CC2CCCCC1CC[N+](C)(C)C, cl: [C@H]1(C)CC2CC(C)(C)C1C(C)C[N+](C)(C)C2, target: C1[C@@H](C)C[N+](C)(C)C[C@H]1C
origin: CC[P+](CCCCCCC2)cccc1, cl: C([P+](CCCCCCCCCCCCCCCCCCCCCC)(C)C)C)CCCCC, target: CC[P+](CC)(CC)CC
origin: C1(C)CC(C)CCC[N+]1(C)C, cl: CC1C[N+](CC)(CC)CC(C1)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1(C)C[N+]2(C)CCCC(C)2C1, cl: [N+]1(C)(CC)C(C)CCCC1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C(C)[N+](C)(C)CC2, cl: [N+](CC)(CC)(C)C, target: C(C)[N+](CC)(CC)CC
origin: C1C(C)C[N+]3(CCCC2)CCCC1, cl: C1[N+](C)(C)CC2C3C4C(C(C2C1)C=C3)C[N+](C(C)C)(C2)CC, target: C1C(C)C[N+](C)(C)CC1C
origin: CC1CC(C)CCCC[N+](C)(C)CCC(C1)CC2, cl: [N+]1(C)(CCCC2C(C1C2)(C)C)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C([P+](CC)(C)C)CCCC2, cl: CC[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: C([P+](CC)(C)C)CC(C)C, cl: C([P+](CC)(CC)CC)C, target: C([P+](CC)(CC)CC)C
origin: C(C)[P+](C)(C)C, cl: C(C)[P+](CC)(C)C, target: C(C)[P+](CC)(CC)CC
origin: C(C)[P+](CC2)cccc1, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: N(C(C)C)(C)CCCC1, cl: CC(C)N(C(C)C)CC, target: N(C(C)C)(CC)C(C)C
origin: C1[C@H](C(C)(C)CCCCC2)CCCC2, cl: C1[NH2+]C(C)(C)CCCC1C2, target: C1[C@H](C)C[NH2+]C[C@@H]1C
