origin: C(C)(C)CNCC(C)(C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1CN(C)CCN(C)CCN1C
origin: CN(C)C, cl: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1, target: N1(C)CCN(C)CCN(C)CC1
origin: C1CC2C(CCCC2)C[N+]1(C)C, cl: [n+]1(cn(cc1)C)CCCC, target: C1[C@@H](C)[N+](C)(C)[C@@H](C)CC1
origin: C([N+]1(CC)CC2C(C3C=CC2C2C3C[N+](C2)(CC)CC)C1)(C)C, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C[N+]1(C)[C@H](C)CCC[C@@H]1C
origin: C1CC2C[N+](CCCC2CC1)(C)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C[N+]1(C)[C@H](C)CCC[C@@H]1C
origin: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, cl: C(C(c1ccccc1)O)(NC)C, target: C1[C@@H](C)C[N+](C)(C)C[C@H]1C
origin: C1C2CC3CC1C[N+](C)(C(C3)C2)C, cl: c1ccccc1C(O)C(N(C)C)C, target: [N+]1(C)(C)C[C@@H](C)C[C@@H](C)C1
origin: C1(C[N+]2(CC3CCC(C2)C3)CCC1)C, cl: c1cc(ccc1)C(O)C(NC)C, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C1CCCC2C(C1)C[N+](CC2)(C)C, cl: C1CC(CCC1)N(C1CCCCC1)C, target: C(C)[P+](CC)(CC)CC
origin: [N+]1(C)(CC(C)(C)CCC1)C, cl: C1N(C(CO)CC1)Cc1ccccc1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C[N+]1(C(C)C)CCCC(C)(C1)C, cl: C1N(Cc2ccccc2)CCC1, target: C1C(C)C[N+](C)(C)CC1C
origin: C(CC[n+]1ccn(c1)C)C, cl: c1(C(O)C(C)N(C)Cc2ccccc2)ccccc1, target: [N+](CC)(CC)(CC)CC
origin: C1CCCC(C1)[N+](C)(C)C, cl: C1C2CN3C(CCCC3)C1C[N+]1(C)C2CCCC1, target: C1[N+](C)(C)CC(C)CC1C
origin: C12CC3CC(C1)CC(C[N+]3(C)C)C2, cl: CCCC[n+]1ccn(C)c1C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1(CC(C)C[N+](C)(C1)C)C, cl: c1c(CN2C(CO)CCC2)cccc1, target: CC[P+](CC)(CC)CC
origin: C1(C)[N+](C)(C(CCC1)C)C, cl: C1CCC2N(CC3CC2C[N+]2(CCCCC23)C)C1, target: C([P+](CC)(CC)CC)C
origin: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, cl: c1(CN2CCCC2)ccc(F)cc1, target: [P+](CC)(CC)(CC)CC
origin: C12CC3CC(C1)CC(C3)(C2)[N+](C)(C)C, cl: C(C)N(CC)CC, target: CC[P+](CC)(CC)CC
origin: C(N(CC)C(C)C)(C)C, cl: c1ccc(C(O)C(C)NC)cc1, target: C(C)(N(CC)C(C)C)C
origin: C1(CCCC[N+](C)(C1)C)(C)C, cl: c1cc(CN2CCCC2CO)ccc1, target: [C@@H]1(C)C[C@H](C)C[NH2+]C1
origin: C[N+]1(C)CC2CCC(CC2)C1, cl: C1CCCN1Cc1cccc(F)c1, target: C1[C@@H](C)[NH2+][C@@H](C)CC1
origin: CC(C)N(C(C)C)CC, cl: C1(CCCCC1)N(C)C1CCCCC1, target: CCN(C(C)C)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C1C(CCCC1)N(C1CCCCC1)C, target: CC(N(CC)C(C)C)C
origin: CC(N(C(C)C)CC)C, cl: C(C)[N+](CC)(CC)CC, target: CC(C)N(C(C)C)CC
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: CC1CC(C)C[N+](C)(C)C1
origin: C(C)(C)N(C(C)C)CC, cl: [N+](C)(C)(C)C12CC3CC(C1)CC(C2)C3, target: C(C)[N+](CC)(CC)CC
origin: C(CCCCCCCCC)CCCCC[N+](C)(C)C, cl: c1ccc(cc1)C(O)C(NC)C, target: CC[N+](CC)(CC)CC
origin: C1CC(CCC1)N, cl: C1N(Cc2ccccc2)C(CC1)CO, target: C(C)(C)N(CC)C(C)C
origin: C(CCCCCC[n+]1cn(cc1)C)[n+]1cn(cc1)C, cl: C1CCN(Cc2ccccc2)C1CO, target: CCN(C(C)C)C(C)C
