origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)CC, cl: C1CN(C)CCN(, target: N1(C)CCN(C)CCN(C)CC1
origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)C2CCC1C, cl: C1CN(C)CCNNCCC1, target: N1(C)CCN(C)CCN(C)CC1
origin: C[C@@H]1[(+]1Cc3ccccc2)CCC(()(C)C)c1, cl: C[C@@H]1[(+](C)(C)C)(, target: C[C@@H]1[N+](C)(C)[C@H](C)CCC1
origin: C1CC[C@@HC+]2c(c)ccc1)CC, cl: C[N+]1(C)CCCC2CCCCC211, target: C1CC[C@@H](C)[N+](C)(C)[C@H]1C
origin: [N+]1(C)(C)CCCCCCC2, cl: [C@@H]1(CcCcccc1)C, target: [N+]1(C)(C)[C@H](C)CCC[C@@H]1C
origin: [C@@H]1(CnCccc11)ccccc1, cl: C[C@@H]1C(C)(C)C, target: [C@@H]1(C)C[N+](C)(C)C[C@H](C)C1
origin: [C@H]1(C)CcCc(c[c+](c)c(C)c2F[c+](c)cc2)c1, cl: C1[C@H](C2(CCCC2)C2)C, target: [C@H]1(C)C[C@@H](C)C[N+](C)(C)C1
origin: [C@@H]1(C(C)C)ccccC1, cl: C1[C@@H](]2CCCC22CCCCC2)cCc1cc<unk>, target: [C@@H]1(C)C[C@H](C)C[N+](C)(C)C1
origin: C(C)[P+](CCC(())C)CCCCC[N+](C)(C)C, cl: C([P+](CC)(CC)CC)C, target: C(C)[P+](CC)(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1(C)C[N+](C)(C)(C)CCC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1[N+](C)(C)CC(C)CC1C, cl: C1(C)C[N+](C)(C)(C)CC(11CCCC1)C, target: C1[N+](C)(C)CC(C)CC1C
origin: [N+](CC)(CC)(CC)CC, cl: C([N+](CCC(CC[N+](C)(C)C)(C)C)CCC(C)C, target: [N+](CC)(CC)(CC)CC
origin: C[N+]1(C)C22C(C)(C)C(CCC1)C2, cl: C1C(C)CC(C[N+]1(C)C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC1CC(C)C[N+](C)(C)C1, cl: CC1CC(C)C[N+](C)(C)C1, target: CC1CC(C)C[N+](C)(C)C1
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C([P+](CCC())C)CCCCCNNCC, cl: C(C)[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: C(C)[P+](CC)(CC)CC, cl: C([P+](CC(()C)CC(()C)C)(C)C)CCCP[N+](C)(C)C, target: C(C)[P+](CC)(CC)CC
origin: C(C)N(C(C)C)CC, cl: CC(N(CC)C(C)C)C, target: C(C)N(C(C)C)C(C)C
origin: C1[C@H](C([N+]2(C)CCCCC2)CC(C)CC11CCCCC1, cl: [C@@H]1(CCCC[C+](C)(C)C)c, target: C1[C@H](C)C[NH2+]C[C@@H]1C
origin: [C@H]1(C)CnCcccc1, cl: C1CC[C@H]+]2C(C1CCCC2)C, target: [C@H]1(C)CCC[C@@H](C)[NH2+]1
origin: CCN(C(C)C)C(C)C, cl: CCN(C(C)C)C(C)C, target: CCN(C(C)C)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: CC(N(CC)C(C)C)C, target: C(C)(N(C(C)C)CC)C
origin: C(C)(C)N(CCCCCN(CCC)CCC)CCC, cl: C(N(C(C)C)CC)C, target: C(C)(C)N(C(C)C)CC
origin: CC1CC(C)C[N+]2CCCC2, cl: C1(C)CC(C)C[N+](C))C1, target: CC1CC(C)C[N+](C)(C)C1
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C([N+](CC)(CC)CC)C, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: N(C(C)C)(C(C)C)CC, cl: CC(C)N(CCCCC(())))C, target: N(C(C)C)(CC)C(C)C
origin: CCN(C(C)C)C(C)C, cl: CC(C)N(C(C)C)CC, target: CCN(C(C)C)C(C)C
origin: C([N+]1(CCCC[C+]2(C)CCCCC2)CCCCC1, cl: C(C)[N+]1(C)CCCCCCCC, target: C([N+]1(C)C(C)(C)CCCC1(C)C)C
origin: CC(C)N(C(C)C)CC, cl: CC(C)N(C(C)C)CC, target: CC(C)N(C(C)C)CC
