origin: C[N+](C1C2CC3CC(CC1C3)C2)(C)C, cl: c1(N(C)C)ccncc1, target: C1C2CC3C([N+](C)(C)C)C1CC(C3)C2
origin: C1CC(CO)N(Cc2cccc(F)c2)C1, cl: N(CCC)(CCC)CCC, target: Fc1ccccc1CN1CCCC1
origin: C1C2C3CCCC[N+]3(C)CC(C3CCCCN13)C2, cl: CN[C+](C)(C)CCC, target: C1[C@H]2[N+](C)(C[C@H]3[C@H]4N(C[C@@H]2C3)CCCC4)CCC1
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: [C@H2CCCCC2CCCCC[N+]1(C)C2CCCC1, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: CNC(C)C(O)c1ccccc1, cl: C1CN(Cc2ccccc2)C(CO)C1, target: C1CC[C@@H](CO)N1Cc1ccccc1
origin: C1CNCCCC1, cl: C1CCCCN1Cc1ccccc1, target: CCN(CC)CC
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C(N(CC)CC)C, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: CCN(CC)CC, cl: C(C[N+](CCC)(CCC)CCC)C, target: C(N(CC)CC)C
origin: C(N(CC)CC)C, cl: C(N(CCO)CCN(CCO)CCO)CO, target: [C@@H](O)(c1ccccc1)[C@@H](N(C)Cc1ccccc1)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C[N+](CCO)(CCO)CCO, target: C(C)N(CC)CC
origin: N(C1CCCCC1)(C1CCCCC1)C, cl: C(C[N+](CCC)(CCC)CCC)C, target: C(C)N(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(N(C)C)(C)C(c1ccccc1)O, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: C1CCC[N+]1(C)CCCC, cl: CCN(CC)CC, target: Cn1c(C)c(C)[n+](C)c1C
origin: C1CN(Cc2ccccc2)CC1, cl: CCN(CCO)CC, target: c1(C[N+](C)(Cc2ccccc2)C)ccccc1
origin: C1CCCN1Cc1cc(F)ccc1, cl: C(N(CC)CC)C, target: C(C)CN(CCC)CCC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(CO)N(CCO)C, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: c1cc(CN2C(CO)CCC2)ccc1, cl: CCC[N+](CCC)(CCC)CCC, target: N(CC)(CC)CC
origin: c1ccccc1C(O)C(C)NC, cl: CCN(CC)CC, target: N(CC)(CC)CC
