origin: c1c[n+](CCCCCC[n+]2cccccc1, cl: Cn1cc[n+](CC)c1, target: c1c[n+](CCCC)cn1C
origin: C([N+]1(C)CCCCCCCCCCCCC[N+]1(C)C)CCCCCCCCC1, cl: N(CC)(CC)CC, target: C([N+]1(CC)C(C)CCCC1C)C
origin: [n+]1(CCCCCCCCCCCC)cc[n+](CCCC)c1, cl: CC[N+](CC)(CC)CC, target: [n+]1(CCCC)c(C)n(C)cc1
origin: CCN(CC)CCCC1, cl: n1(C)c(C)[n+](CCCC)cc1, target: CCN(CC)CC
origin: CCN(CC)CCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: c1(C)[n+](CCCCCCCCC[N+]12CCCCCCCCCC[n+]1c(C)n(C)cc1)C, cl: c1c(N(C)C)ccnc1, target: c1(C)[n+](Cc2ccccc2)ccn1C
origin: C(C[N+](C)(C)C)CCCC(C)CC1, cl: C(C)C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1C[C@@H]3(C1CCCCCCCCN(C)C)CCC, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: C1C[C@@H]2[C@H]3C[C@H]([C@@H]4CCCCN4C3)C[N+]2(C)CC1
origin: CCN(CC)CCCCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: c1c(N(C)CCCCCCCCCCC[N+](C)(C)C)ccccc1, cl: [C@@H]1(CCCC1)Cc1cc(F)ccc1, target: c1c(N(C)C)ccnc1
origin: C(NCC)C, cl: c1cn(C)c(C)[n+]1C, target: C(NCC)C
origin: CC(CNCC(C)CC)c2ccccc1, cl: CC(C)NC(C)C, target: CC(CNCC(C)C)C
origin: C(O)C[N+](C)(C)CCCC1, cl: N(CC)(CC)CC, target: C(O)C[N+](CCO)(C)CCO
origin: N12C[C@H](CCCCCC[N+](C)(C)C2)CCCC2, cl: c1c(F)ccc(CN2CCCC2)cc1, target: N12C[C@H]3[C@H]4CCCC[N+]4(C)C[C@@H]([C@@H]1CCCC2)C3
origin: CCN(CC)CCCCCC1, cl: C1CCN(Cc2ccccc2)CC1, target: CCN(CC)CC
origin: c1ccc([C@]1(C)CCCCC[N+](C)(C)C)(C)C, cl: C1N2CCN(C1)CC2, target: c1ccc([C@H]([C@@H](NC)C)O)cc1
origin: c1ccc(C[N+]2(C)CCCC2)CCC, cl: N(CC)(CC)CC, target: c1ccc(C[N@+]2(C)CCC[C@H]2CO)cc1
origin: C(N(CCC)CCCCCCCCC)cc2)c1, cl: C(C)N(CC)CC, target: C(N(CCC)CCC)CC
origin: C([N+](Cc2ccccc2)c1n(C)cc2)cccc1, cl: C1CN(Cc2cccc(F)c2)CC1, target: C([N+](Cc1ccccc1F)(C)C)c1c(F)cccc1
origin: C[N+](C)(C)CCCC2, cl: C(O)[C@H](=C(O)CCCCCN(C)C(C)C, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: CCN(CC)CCCCCC1, cl: CCCN(CCC)CCC, target: CCN(CC)CC
origin: C1CCC(N(C)C)CCCCCCC[N+](C)(C)C, cl: C(N(CC)CC)C, target: C1CCC(N(C)C2CCCCC2)CC1
origin: C1N2CCCC[N+]1(C)CCCCCC1, cl: c1c[n+](CCCC)ccc1, target: C1N2CCCC[C@H]2[C@@H]2C[N+]3(C)CCCC[C@@H]3[C@H]1C2
origin: C12CC(C3CC2CCCCCC1)CCCCC1, cl: CCN(CC)CC, target: C12CC(C3CCCC[N+]3(C)C1)CN1CCCCC21
origin: CCCN(CCC)CCCCCCCC[n+]1c(C)cc(C)n1C, cl: c1c(F)ccc(c1)CN1CCCC1, target: CCCN(CCC)CCC
origin: C(C)N(CC)CCCCCCC[n+]1c1C, cl: N1CCCCCC1, target: C(C)N(CC)CC
origin: c1cccc(F)cc1, cl: C([N+](CC)(C)C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1C, target: c1cccc(F)c1CN1CCCC1
origin: C[C@H](NC(CCCC)CCCCCCCCCCCCCCCC[n+](C)c1)CC, cl: C(CO)[N+](CCO)(C)CCO, target: C[C@H](NC)[C@H](O)c1ccccc1
origin: CCN(CC)CCCCC1, cl: C1OCCOCCN2CCOCCOCCN(CCO1)CCOCCOCC2, target: CCN(CC)CC
origin: CCN(CC)CCCC1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C1CC(N(C)CC3)CCCCC1, cl: C(c1ccccc1)(O)C(C)NC, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C(C)N(CC)CCCC1, cl: C1C2CC3CC1(CC(C2)C3)[N+](C)(C)C, target: C(C)N(CC)CC
origin: CCN(CC)CCCC[N+](CC)(C)CCCC1, cl: CCC[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: O1CCN2CCOCC1CC2C1CCC2C2, cl: C(N(CCC)CCC)CC, target: O1CCN2CCOCCOCCN(CCOCCOCC2)CCOCC1
origin: CCN(CC)CCCCC1, cl: C1CCCC(N(C2CCCCC2)C)CCC1, target: CCN(CC)CC
origin: N(CC)(CC)CCCCCCC1, cl: C(C)CN(CCC)CCC, target: N(CC)(CC)CC
origin: C1CCCCC1N(C)(C)CCCC[N+]1(C)CCCCCCC1, cl: C(N(CCC)CCC)CC, target: C1CCCCC1N(C)C1CCCCC1
origin: C1CN2CCOCCCC[N+]1(C)CCCCC2, cl: C[C@H](NCCC)C, target: C1CN2CCOCCOCCN(CCOCCOCC2)CCOCCO1
origin: C1C2CC3CC2C(C[N+](C)(C)C)CCC(C)C, cl: C(CC)N(CCC)CCC, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: CC(N(CC)C)CC2, cl: C(C)N(CC)CCO, target: CC(N(CC)C(C)C)C
origin: C(C)N(CC)CCCCCC[n+]1cccc1, cl: C1CCC[N+]1(CCCCC[N+]1(CCCC1)C)C, target: C(C)N(CC)CC
origin: CCN(CC)CCCC2CCCCC[n+]1ccccc1, cl: N(C)(C)C, target: CCN(CC)CC
