origin: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1, cl: n1(c([n+](cc1C)C)C)C, target: C(C)N(CCO)CC
origin: Cn1c(C)[n+](CC)cc1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: CC(C)N(CC)C(C)C
origin: C(CN(CCC)CCC)C, cl: Cn1c(c[n+](c1C)CC)C, target: CC(NC(C)C)C
origin: C(Cn1c(C)[n+](C)cc1)c1c(F)cccc1, cl: c1(ccccc1)C(C(NC)C)O, target: C([N+](CCC)(CCC)CCC)CC
origin: C(C)[n+]1ccn(C)c1, cl: C(C)(N(CC)C(C)C)C, target: N([C@@H](C)[C@H](O)c1ccccc1)C
origin: c1cccc(CN2CCCC2CO)c1, cl: N(C)(C(c1ccccc1)O)C, target: C(N(CC)CC)C
origin: C1CCN(Cc2ccccc2)C1, cl: C1CC(CO)N(Cc2ccccc2)C1, target: OCCN(C)CCO
origin: C1CCCC1(CN(C)C)O, cl: c1cccc(c1)C(C(C)NC)O, target: [C@H]12[C@H]3C[C@H]([C@@H]4[N+](C)(CCCC4)C3)CN1CCCC2
origin: c1ccc(CN2CCCC2)cc1, cl: C(C)[N+](CC)(CC)CC, target: c1ccccc1CN1CCC[C@H]1CO
origin: c1ccccc1CN1CCCC1CO, cl: c1cccc(c1)C(O)C(C)N(Cc1ccccc1)C, target: Cn1c(C)c(C)[n+](C)c1C
origin: c1cc(C[n+]2ccn(C)c2)ccc1, cl: c1c(CN2C(CO)CCC2)cccc1, target: C(C[N+](CCC)(CCC)CCC)C
origin: N1(C)CCCCN(C)CC1, cl: c1c(C(O)C(N(C)Cc2ccccc2)C)cccc1, target: C([N+](CCO)(CCO)C)CO
origin: c1ccc(CN2CCCC2)cc1, cl: C12C3[N+](CC(C4CCCCN4C1)C2)(CCCC3)C, target: c1cc(CN2[C@H](CO)CCC2)ccc1
origin: C12CC3CC(C[N+](C)(C)CC1C3)C2, cl: C(CCC)C[n+]1c(C)n(C)c(C)c1, target: c1(C[N+](C)(Cc2ccccc2)C)ccccc1
origin: c1cn(CC)c(C)[n+]1Cc1ccc(F)cc1, cl: c1(cc(C[N+](C)(C)Cc2c(F)cccc2)ccc1)F, target: C(CC)C[n+]1ccc(C)c(C)c1
origin: CC(NCCC)CCC, cl: C1C2C3CCCCN3CC(C3CCCC[N+]3(C2)C)C1, target: CCN(CC)CC
origin: C1CCC(N(C)C2CCCCC2)CC1, cl: C1N(Cc2ccccc2)C(CO)C1, target: C(C)CN(CCC)CCC
origin: C1CC(C[N+](CC2(c3ccccc3)CCC2)(C)C)CC1, cl: C1(CCCCC1)N(C)C1CCCCC1, target: C(C)CN(CCC)CCC
origin: C(C1(NC2CCCCC2)C)CCCC1, cl: c1cccc(c1)C(O)C(NC)C, target: [C@H]1(CO)N(Cc2ccccc2)CCC1
origin: C(CNCCC)C, cl: C1N(CCC1)Cc1ccccc1, target: Cc1n(C)cc[n+]1CC
origin: c1(C)ccn(C)c1C, cl: C1CN(Cc2cc(ccc2)F)CC1, target: C(C)N(CC)CC
origin: c1ccccc1CN1C(CO)CCC1, cl: C(C)CN(CCC)CCC, target: C1CN(Cc2ccccc2F)CC1
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C(N(CC)CC)C, target: CN(C)C
origin: C(C[n+]1ccn(C)c1)C, cl: C1N(Cc2ccccc2)C(CO)C1, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2F)CC1, cl: C1CN(Cc2ccccc2)C(CO)C1, target: C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
origin: C(CN(CCC)CCC)C, cl: C1CCCCC1N(C)C1CCCCC1, target: C1(N)CCCCC1
