origin: C1N(CN(CCC(CCCCCCCCCC, cl: C1C1C(C)NCNNCCcNC, target: C1NCCN(CCN)C1
origin: cNN+]+CcCN+]CC(C2ccccc1)C)C, cl: C1[(CCCN+]2CC2(CcCCCCCCC1, target: C[C@@H]([C@@H](c1ccccc1)O)NC
origin: N1[cc((c11CC1C1)c1, cl: C((C[[1ccc(c1, target: c1cccc(CN2CCCC2)c1
origin: c1NCCOCCC1c(cc(1, cl: c1O1)[NN+]1ccn(c)c1, target: C1CCCN1Cc1ccccc1F
origin: C1CCCN+]1CcC(C1)C1CCccCc, cl: CN+]n(CCCCC(C)2ccccc2)C(C1, target: C(C)[N+](CC)(CC)CC
origin: CN1(CcCCcNCccccCCCCC, cl: C(1CN+]1C))C(CcC)CcC, target: CCN(CC)CC
origin: C1N(CCNN[NCNCcCC, cl: [1CC2N+](C2CN+]C(CCN+](C(CCN+]3(C1CC)CNHH]33CC3CC1C, target: CCN(CC)CC
origin: C1cn+]1C)1(C11C1CC1CCcCc(, cl: C1OCCCN)CN[)C[NNcc, target: C([N+](CC)(CC)CC)C
origin: C11(Cc)CcNNccccCC(CCCCCCCCCCCCCCCCCC1, cl: C111N+](C)))(C1CCCcC2CCcc, target: CCN(CC)CC
origin: C1CCC(CcCCcNcnCccC, cl: c1NCCCCCOCcNNNCC, target: N(CC)(CC)CC
origin: C1((([(c1C1C)c1, cl: C1OCC(Cc)CcCCccccCCCCCC(CCCCCCCCCCC, target: c1nccc(N(C)C)c1
origin: C12N+(C2CN+CCC(CCN+]((CCCNC+FC(CN+CC3C23))31)C3)C, cl: C11N(CCO)CCN(NCccc, target: C1[C@H]2[C@@H]3C[N+]4(C)[C@@H]([C@H](CN2CCC1)C3)CCCC4
origin: C1[[[C[[)(CC1ccccc3)C(C11)((c1, cl: C(Cc)cCc)CnNnccncCC, target: c1cc(CC2N(Cc3ccccc3)CCNC2)ccc1
origin: c1O)C))C1NCNCCCCCCCC(CCCCCCCCC1C(C1C11C, cl: C[1(CCCCnN(NcOCCCCCCC(CCCC(C(CCCCC, target: C(N(CC)CC)C
origin: C11ONNCCcC)C)CcOCNC, cl: CN+]1((CCCCC((N+]]C(CN+]n(C(N+]((Cn+]CN2)12C1122)C2, target: CC(C)N(C(C)C)CC
origin: c1C))N[[((([[N(NcC, cl: C[OCCNCCCC)CcCNNcNNc(, target: C(CC)CCNCCCCC
origin: C[C((CC2c(C)cccc2)CC1CCCCc, cl: C(CCC1cc(((2)C(C(1, target: C1CN(Cc2c(F)cccc2)CC1
origin: CCC1CCCCCC[NCcCCCCCCCCCCCCCCCCCcC, cl: C(((C)NC[NNNCCCCCCCCCCCCCCCCCcC, target: C(C)N(CC)CC
origin: C1c[ccCNN=CC1c)CN++]11c2)c, cl: N1cc(((1CN+](C(CN++]CCC))C, target: c1ccc([C@@H](O)[C@@H](NC)C)cc1
origin: C11C)CCCCC)CCCCCCCCcCC, cl: C1NN+]((CCCCN(2N+]]3(CN++n+C1N+]1((CN+], target: CN(C(N(C)C)=N)C
origin: C1[[c(c1C[N[(CC2ccccc2)CCC11, cl: C11(CCCCcNCNcCcCCCCC(CCCCC, target: c1ccccc1CC1N(Cc2ccccc2)CCNC1
origin: c(c)[NN+](C)C)(CcC)CcC, cl: C1OCCCNC)))c, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1cccccCNN+-N2c)CN++n+c)c, cl: C1NOCCC))C)))cCCccc, target: c1cccc([C@@H](O)[C@H](C)NC)c1
origin: CNcN+]1C))(C))C)CC, cl: C1N))[[N+]1c(n(c)c1CCCCC, target: C([N+](CC)(CC)CC)C
