origin: C(c1ccccc1)N1CCCC1CO, cl: CC(NC(C)C)C, target: C(c1ccccc1)N1CCC[C@H]1CO
origin: CCCN(CCC)CCC, cl: C(C)(C)N(CCCCCC(C)C)CCC, target: CCCN(CCC)CCC
origin: C([N+](CC(()(C)C)O)CcccccF, cl: c1n(C)cc[n+]1CCCC, target: C([N+](CCC)(CCC)CCC)CC
origin: C(CN(CCC)CCC)C, cl: CN(C)C, target: C(CN(CCC)CCC)C
origin: C(C)N(CC)CC, cl: [C@H]1(COn(ccccc1)c)ccc1-(1)C)1, target: C(C)N(CC)CC
origin: Cc1c(C)cc[n+](CCCC)c1, cl: C1CCCCN(C)C1, target: Cc1c(C)cc[n+](CCCC)c1
origin: C1CCCCNC1, cl: C(CC)CCC[[+]12cCc(cccc2ccccc2)cc1, target: C1CCCCNC1
origin: CCCN(CCC)CCC, cl: N12CCCC[C+]1(C)CCCCC2, target: CCCN(CCC)CCC
origin: C(C)N(CC)CC, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2FCCO1, cl: C(CO)N(CCCCCCCCCCCCCC))C, target: C1CN(Cc2ccccc2)CCCC1
origin: CCN(CC)CC, cl: CCN(CC)C(, target: CCN(CC)CC
origin: N(CC)(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C1COCCOCCN2CCOCCOCCN(CCOCCOCC2)C1, cl: N(CC(C)C)CCCCC, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: C(CN(CC)CC)C, cl: C(c1ccccc1)N1CCCC1CO, target: C(CN(CC)CC)O
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1(N(C)C2CCCCC2)CCCCC1, target: C1CCCCC1N(C)C1CCCCC1
origin: CCC[N+](CCC)(CCC)CCC, cl: C1OCCN2CCOCCOCCN(CCOCC)CCC)CC1, target: CCC[N+](CCC)(CCC)CCC
origin: C1CN2CCOCCOCCN(CCOCCOCC2)CCOCCOC, cl: C1N(Cc2ccccc2FCCCCOOOOCOOCC1CCCCC1, target: C1CN2CCOCCOCCN(CCOCCO1)CCOCCOCC2
origin: c1cc(C[n+]2ccn(C)c2C)ccc1, cl: CN[C@H]([(c]cccc1)c1ccccc1, target: c1cc(C[n+]2ccn(C)c2C)ccc1
origin: N(CC)(CC)C, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(C)N(CC)CC, cl: Cc1n(C)c(C)[n+](C)c1C, target: C(C)N(CC)CC
