origin: C1CCC(C)(C)NC1(C)C, cl: C1CC[N+](C1)(CCCCC[N+]1(C)CCCC1)C, target: C1CNCCC1N1CCCCC1
origin: c1cccnc1, cl: c1ccncc1, target: c1ccccn1
origin: c1cn(C)cn1, cl: c1ncccc1, target: c1nccn1C
origin: CC1(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: C(CN(CC)CC)C, target: CCCNCCC
origin: C1CCCCC1N, cl: CCCNCCC, target: C(CC)NCCC
origin: c1cn(C)cn1, cl: [nH+]1ccccc1, target: c1[nH+]cccc1
origin: C1=C[NH+](C)C=C1, cl: C1=C[NH+](C)C=1, target: C1=CN=C[NH+]1C
origin: C1CNCCN1C, cl: C1CC[N+](C1)(CCCCC[N+]1(CCCC1)C)C, target: C1N(C)CCCC1
origin: C(CCC[N+](C)(C)C)CC[N+](C)(C)C, cl: C[N+](CCCCC[N+](C)(C)C)(C)CC, target: C[N+](C)(C)C
origin: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3
origin: CCn1cc[n+](C)c1, cl: C1CNC(CC(C)(C)NCCNC(CC(N1)(C)C)C)C, target: O1CCNCC1
origin: C1CCCC(N)C1, cl: C1CNCCNC1, target: C1NCCOC1
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C1C(C)CC(C[N+]1(C)C)C, target: C1CCCCC1N
origin: C(CO)N(CCO)C, cl: C1CC[N+](C1)(C)CCCCC[N+]1(C)CCCC1, target: C1CCC(N)CC1
origin: C(CN)NCCNCCNCCNCCN, cl: C(C)[N+](C)(CC)C, target: CCN(CC)CC
origin: C(NCCN)CNCCNCCN, cl: N(CCN)CCNCCNCCN, target: CCN(CC)CC
origin: C1CCCCC1N, cl: CN1CCN(CCN(C)CC1)C, target: C1CNCCN1C
