origin: C1CCCN(C2)CCC1, cl: C1CCN(C2CCCCC2)CC1, target: C1CCCN(C2CCNCC2)C1
origin: n1ccccc1, cl: n1ccccc1, target: n1ccccc1
origin: c1ncn(C)c1C, cl: n1(C)ccnc1, target: c1ncn(C)c1
origin: C(CC)NCCCCCCC1, cl: C(NCCC)CC, target: C(CC)NCCC
origin: C(C)CNCCCCCCC1, cl: C(NCCC)CC, target: C(C)CNCCC
origin: [nH+]1ccccc1C, cl: c1ccc[nH+]c1, target: [nH+]1ccccc1
origin: [NH+]1(C)CCCC3CC1C2, cl: N1=C[NH+](C)CC1, target: [NH+]1(C)C=NC=C1
origin: CN1CCCCC1CCN(C)CCN(CC3)C1, cl: N1(C)CCCCC1, target: CN1CCCCC1
origin: C[N+](C)(C)CCCCC1, cl: C[N+](C)(C)CCCCCC[N+](C)(C)C, target: C[N+](C)(C)C
origin: C[N+](C12CCCCCCCCCC[N+](C)(C)C)(C)C1, cl: C12CC3CC(CC(C1)([N+](C)(C)C)C3)C2, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C1C2([N+]2(C)CCCC3)CCCN1CCCC1, cl: C1C2CC3CC1(CC(C2)C3)[N+](C)(C)C, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C1OCCNC1, cl: N1CCOCC1, target: C1OCCNC1
origin: C1OCCNC1, cl: C1COCCN1, target: C1OCCNC1
origin: C1(N)CCCC2)CC, cl: C1CC(N)CCC1, target: C1(N)CCCCC1
origin: C1CCCCC1N(C)CCN(C)CC2, cl: C1CC(N)CCC1, target: C1CCCCC1N
origin: C(C)N(CC)CCCCCCC[N+]1(C)CCCC2, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CC)CCCC1, cl: C(N(CC)CC)O, target: C(C)N(CC)CC
origin: C1CNCCN1CCCCCCC1, cl: C1NCCN(C)CCN(CCCN(C)CCN(C1)C)C, target: C1CNCCN1C
origin: C1C2C(CCCC[N+]2(C)CCCCCCC2)CCCCCC, cl: C[N+]1(C)CC2CCCC1CCC2, target: C1C2C(CCCC2)CCC[N+]1(C)C
origin: C1C2C(CCC[N+](C)(C)C)(C)C, cl: C1CC2C(CCCC2)[N+](CC1)(C)C, target: C1C2C(CCC1)[N+](C)(C)CCC2
origin: C1CCC2C(C)CCCC1CCC1, cl: C1CC[N+](CC1)(C)CCCC[N+]1(C)CCCC1, target: C1CCC2C(C1)CCC[N+]2(C)C
origin: C1CCCC2CC1C[N+](C)(C)C2CCC(C)CCCC1, cl: C[N+]1(C)CC2(CC1CC(C)(C)C2)C, target: C1CCCC2CCC[N+](C)(C)C12
origin: C1CC2CCCCC2, cl: C1C2[N+](C)(CC(C)(CC1(C)CC2)C)C, target: C1CC2CCCC2[N+](C)(C)C1
origin: C1C2C(CC1)CCCC(C)[N+](CC)(CC)CCCCC1, cl: C1CC2CCCC1[N+]2(CCCC[N+]1(C2CCC1CCC2)C)C, target: C1C2C(CC1)CC[N+](C)(C)C2
origin: N1CCCCC1, cl: C1CCNCC1, target: N1CCCCC1
origin: N1CCOCC1, cl: C1OCCNC1, target: N1CCOCC1
origin: C1CCNCCNCCCCCC1, cl: C1NCCCNCC1, target: C1CCNCCNCCCNCCN1
origin: Cn1c[n+](C)c(C)n(C)cc1, cl: c1[n+](C)cn(C)c1C, target: Cn1c[n+](C)cc1
origin: c1n(C)cc[n+](C)ccn1C)C, cl: c1cn(C)c[n+]1C, target: c1n(C)cc[n+]1CC
origin: CCN(CC)CCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CC)(CC)CC2CCCCCCC1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C(N(CC)CCCCCCCCCCCCCCCCCC[n+](C)cc3)cc1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: N1CCOCC1, cl: C1COCCN1, target: N1CCOCC1
origin: N1CCOCC1, cl: O1CCNCC1, target: N1CCOCC1
origin: C1OCCNC1, cl: O1CCNCC1, target: C1OCCNC1
origin: c1cn(C)c[n+]1c(C)n(C)ccc1, cl: C([n+]1ccn(c1)C)CCCC, target: c1cn(C)c[n+]1CC
origin: C1CCNCC1, cl: C1NCCCC1, target: C1CCNCC1
origin: C1NCCCC1, cl: C1CNCCC1, target: C1NCCCC1
origin: C1NCCCC1, cl: C1CNCCC1, target: C1NCCCC1
origin: N1CCCCC1, cl: C1CNCCC1, target: N1CCCCC1
origin: C(C)[N+](C)(C)CCCCCC, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: CC[N+](CC)(CCCCCCCCCCCCCCC[n+]1ccccc1, cl: C([N+](CC)(C)C)C, target: CC[N+](CC)(CC)CC
origin: NC1CCCCC1CC[N+]1(C)CCCCCC2C, cl: C1CC(N)CCC1, target: NC1CCCCC1
origin: C1CC(N)CCCCCCCC1, cl: C1CCC(N)CC1, target: C1CC(N)CCC1
