origin: C1C(NCCNC(C)(C)CC(C)NCCNC1(C)C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1N(C2CCNCC2)CCCC1
origin: c1cncn1C, cl: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1, target: c1cccnc1
origin: c1[nH]ncc1, cl: [n+]1(cn(cc1)C)CCCC, target: n1(C)cncc1
origin: C(N(CC)CC)C, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C(C)CNCCC
origin: C1CN(CCN(C)CCN(CCN(C)CCN(C)CCN1C)C)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C(C)CNCCC
origin: c1(C)nccnc1, cl: C(C(c1ccccc1)O)(NC)C, target: [nH+]1ccccc1
origin: [n+]1(C)ccn(C)c1, cl: c1ccccc1C(O)C(N(C)C)C, target: N1=C[NH+](C)C=C1
origin: C1CN(CCN1)C, cl: c1cc(ccc1)C(O)C(NC)C, target: C1CCCCN1C
origin: C([N+](C)(CCCCC[N+](C)(CC)C)C)C, cl: C1CC(CCC1)N(C1CCCCC1)C, target: [N+](C)(C)(C)C
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: C1N(C(CO)CC1)Cc1ccccc1, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C1N(Cc2ccccc2)CCC1, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C1CCC(C)(NCCNC(CC(NC1)(C)C)C)C, cl: c1(C(O)C(C)N(C)Cc2ccccc2)ccccc1, target: O1CCNCC1
origin: C(NCC)C, cl: C1C2CN3C(CCCC3)C1C[N+]1(C)C2CCCC1, target: C1NCCOC1
origin: C1C(N)CCCC1, cl: CCCC[n+]1ccn(C)c1C, target: C1CC(N)CCC1
origin: CC(N(C(C)C)CC)C, cl: c1c(CN2C(CO)CCC2)cccc1, target: NC1CCCCC1
origin: C(N(C(C)C)CC)C, cl: C1CCC2N(CC3CC2C[N+]2(CCCCC23)C)C1, target: C(C)N(CC)CC
origin: CCCNCCC, cl: c1(CN2CCCC2)ccc(F)cc1, target: CCN(CC)CC
origin: C(CC[N+]1(C)CCCC1)C[N+]1(CCCC1)C, cl: C(C)N(CC)CC, target: C1N(C)CCNC1
origin: C1CCCC2C1[N+](CCC2)(C)C, cl: c1ccc(C(O)C(C)NC)cc1, target: C[N+]1(C)CCCC2C(C1)CCCC2
origin: C1CCC2CCCCC2[N+](C1)(C)C, cl: c1cc(CN2CCCC2CO)ccc1, target: C12CCCCC1CCC[N+]2(C)C
origin: C1C2CC3CC(C2)C[N+](C)(C)C1C3, cl: C1CCCN1Cc1cccc(F)c1, target: C[N+]1(C)CCCC2CCCCC12
origin: C1C(CCCC1)[N+](C)(C)C, cl: C1(CCCCC1)N(C)C1CCCCC1, target: C1C2CCCCC2[N+](C)(C)CC1
origin: C1CCC2CCC1[N+]2(C)CC, cl: C1C(CCCC1)N(C1CCCCC1)C, target: C1CC2C(CCC2)[N+](C)(C)C1
origin: C1CC2CCCC(C1)[N+]2(C)C, cl: C(C)[N+](CC)(CC)CC, target: C1C2C(CCC2)CC[N+]1(C)C
origin: CCn1c[n+](cc1)C, cl: C1(CO)N(CCC1)Cc1ccccc1, target: C1CNCCC1
origin: Cc1n(c(C)[n+](C)c1)C, cl: [N+](C)(C)(C)C12CC3CC(C1)CC(C2)C3, target: C1CNCCO1
origin: c1n(C)cc[n+]1CC, cl: c1ccc(cc1)C(O)C(NC)C, target: C1CCNCCNCCCNCCN1
origin: c1n(c[n+](c1)CC)C, cl: C1N(Cc2ccccc2)C(CC1)CO, target: Cn1cc[n+](C)c1
