origin: C1CNCCC1N, cl: C1CNCCC1N, target: C1CNCCC1N1CCCCC1
origin: c1cnccc1, cl: c1cccnc1, target: c1cnccc1
origin: n1(C)cncc1, cl: c1n(C)ccnn1, target: n1(C)cncc1
origin: C(CNCCC)C, cl: C(CC)NCCC, target: C(CNCCC)C
origin: C(NCCC)CC, cl: CCCNCCC, target: C(NCCC)CC
origin: c1[nH+]ccc1, cl: [nH+]1ccccc1, target: c1[nH+]cccc1
origin: C1=NC=C[NH]+1, cl: C1=CN=C[NH+]1C=, target: C1=NC=C[NH+]1C
origin: C1CCN(C)CCN(C)CCCN(C)CCN1C, cl: C1N(C)CCC((CCN)C1)N, target: C1CCN(C)CC1
origin: C[N+](C)(CCCCCC[C+](C)(C)C)C, cl: C[N+](C)(C)CCO, target: C[N+](C)(C)C
origin: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, cl: C1C2CC3CC(CC1(CN)C3)[N+](C)(C)C2, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3, cl: C[N+](C)(C12CC3CC(C1(CC)C3)C2)C, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C1OCCNC1, cl: O1CCNCC1, target: C1OCCNC1
origin: C1OCCNC1, cl: O1CCNCC1, target: C1OCCNC1
origin: C1C(N)CCCC1, cl: C1CCCCC1NC, target: C1C(N)CCCC1
origin: C1(N)CCCCC1, cl: C1CC(N)CCC1, target: C1(N)CCCCC1
origin: N(CC)(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CC, cl: C(C)N(CC))C, target: CCN(CC)CC
origin: C1CN(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)C1, cl: C1N(C)CCN(C)CCN(CCC(C)NCC(()11CCCC11CC)C)C, target: C1CN(C)CCN1
