epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5
C1C(CCCC1)N(C)CCCCCN1C,C1C[N+](CCCC[N+]2(CCCC2)C)(CC1)C,C1CN(CCN(CCN(CCN(CCN(C)CCN1C)C)C)C)C,C1NC(C)CNC1,C1C[N+](CC1)(C)CCCCC[N+]1(C)CCCC1,C1CC(CC1N)N1CC[N+](CC1)(C)C
C1CN(C)CCN(C)CCN(C)CCN(CCN(C)CCN1C)C,C(CNCCC)CN,C1CN(C)CCN(CCCN(C)CCN(C)CCN1C)C,C1CCC(CC1)N,C(CC[N+]1(C)CCCC1)C[N+]1(C)CCCC1,C(CC[N+]1(CCCC1)C)C[N+]1(C)CCCC1
C1C2[N+](C)(C)CC3CC(C2)C(C1)C3,C1C2CC3CC(CC1C3)([N+](C)(C)C)C2,C1C2CC3CC1CC(C2)([N+](C)(C)C)C3,C1(C)(C)CC2(C)CC(CC1[N+](C)(C2)C)C,C12CC3CC(CC(C2)C3)(C1)[N+](C)(C)C,[N+]12(CCCC[N+]34CCN(CC4)CC3)CCN(CC2)CC1
C1CCC(C)C[N+](C)(C1)C,C1CC2C(CCC[N+]2(C)C)CC1,C1C2CC3CC1CC(C2)([N+](C)(C)C)C3,C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2,C1C2CCCC(CC2)[N+]1(C)CC,C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
C1CC2CCC1(C)CC(C2)[N+](C)(C)C,C1(C)(C)CC2(C)CC(C1)[N+](C)(C)C2,C1C2CCCCC2C[N+](C)(C)C1,C1CCCC2C(C1)C[N+](C)(C)C2,C1CCCC2CCC[N+](C)(C)CC2C1,C1CCC2CCC[N+](CC)(C)C2C1
C12CC3CC(CC(C3)C1)C2,C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C,C1C2C(CCCC2)[N+](C)(CC1)C,C1CC[N+](C)(C)C2C(C1)CCC2,C1CC[N+](C)(C)C2CCCCC2C1,C1CCCC2CCC[N+](CC)(CC)C21
C1CC[N+](CC1)(C)CCCC[N+]1(C)CCCC1,C1CCC2CCCC1[N+](C)(C)CC2,C1C2CC[N+](C)(C1C2)C,C1C2CC3CC1CC(C3)([N+](C)(C)C)C2,C1C[N+](C)(C)C2CCCC2C1,C1C2CC3CC(C2)(CC1C3)[N+](C)(C)C
C1CCC2[N+](CCCC2)(C)CCCC1,C1C2CC3CC1CC(C2)([N+](C)(C)C)C3,C1C2CCC(C1)C[N+]2(CC)C,C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2,C[N+]1(CCCC2CCCCC2C1)C,C1CCC2C(CCC[N+]2(C)C)C1
C1CC2CC3CC(C2)CC1C3,C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C,C1CC2CCC[N+](C)(C2C1)C,C1CC2CCCC([N+]2(C)C)C1,C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C,C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
C1C[N+](CCC)(CC)CCCC1,C1C(C)(CC(C)C[N+]1(CC)CC)C,C1CC2CC1C1CCC[N+]2(C)CC1,C12C(C)(C)C(CC([N+](C)(C)C)C2)CC1,C1CC(C)(C)C[N+](C)(C)C1,C1CC(C)[N+](CC)(CC1)C
