epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5
C(O)C(O)c1ccccc1,C1CCCCC1N(C1CCCCC1)C,c1ccccc1CN1CCCC1CO,C(C)CCCCC[n+]1ccn(C)c1,C(C)CNCCC,C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
C1C2CC3CC(C2)CC1CC1[N+](C)(C)C,C(CCCCCCC[n+]1ccn(C)c1C)C[n+]1ccn(C)c1,CCN(CC)CC,c1(ccccc1)C(C(C)NC)O,C1(CO)N(Cc2ccccc2)CCC1,C1CC(CCC1)N(C1CCCCC1)C
C1C2CCCC1C[N+]1(CC2)CCCCC[N+]12CCC(CC2)CC1,C1(CCCCC1)N(C1CCCCC1)C,c1ccc(c(c1)F)CN1CCCC1,C(C)CCNCCCC,c1cccc(CN2CCCC2CO)c1,C1CCCCN1
c1cc(ccc1)C(O)C(CO)O,C1CCCC(N(C1)Cc1ccccc1)O,C1(CCCCC1)N(C1CCCCC1)C,c1c[n+](c(n1C)C)CC,C1CCC2C3C[N+]4(C(CCCC4)C(CN2C1)C3)C,C1C2C3[N+](CC1C1N(CCCC1)C2)(CCCC3)C
c1cc(ccc1)C[N+]1(CCCC1)CCCCC1C,C(CCC)N(CCC)CCC,C(C)(NC(C)C)C,C(C)(C(C)NC)c1ccccc1,C1CC(N(C2CCCCC2)C)CCC1,C1CN(CCN(CCCN(CCN(C)C1)C)C)C
c1ccccc1CN1CCCC1CO,C1(CCCCC1)N(C1CCCCC1)C,c1c(cccc1)C(N(C)C)C,C1CCCN1Cc1ccccc1F,c1c(cccc1)C(O)C(NC)C,C(C(C(O)c1ccccc1)NC)O
c1ccc(cc1)C(O)C(NC)C,C(C)C[N+](CC)(CC)CC,Cc1[n+](CCCC)ccn1C,Cc1[n+](ccn1C)CCCC,C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2,C1CCC(CC1)N(C1CCCCC1)C
C(C)NCCC,c1cc(ccc1)CN1C(CCC1)CO,C1CC(N(C2CCCCC2)C)CCC1,C1CC(CCC1)N(C1CCCCC1)C,c1cc(ccc1)CN1C(CO)CCC1,c1n(c[n+](c1)CCCC)C
C(NCCC)C,C(C)CN(CCC)CCC,C(CNCCC)C,C(C)CC[n+]1ccn(C)c1,c1cc(C[N+](C)(C)Cc2cccc(c2)F)ccc1,C([n+]1c(C)n(C)cc1)CCCCCCCC[n+]1ccn(c1C)C
C(C)N(CCC)CCC,C1CCC(N(C1)C)C1CCCCC1,N(CC)(CC)CC,c1cccc(c1)CN1CCCC1,C(O)CN(CCO)CCO,C(CO)N(CCO)CCO
C(C)N(CC)CC,C1([N+]2(CCCC2)CCCC)CCCC1,c1c(cccc1)C(NCC)C,c1ccc(C(C(NC)C)O)cc1,C(CCCCC[n+]1ccn(c1C)C)[n+]1cn(cc1)C,C(CNCCCC)C
N1(CCCCN(CCCN(CCN(CCC1)C)C)C)C,C1C[N+](CCCCCC[N+]2(CCCC2)C)(C)CC1,C1N(CCN(CCN(CCN(CCN(C)CCN(C)C1)C)C)C)C,c1cc(CN2CCCC2)c(F)cc1,C(CO)N(CCO)CCO,C(C)CN(CCC)CCC
C(CC)NCCC,C(C)CNCCC,C(C)(N(CC)CC)C,c1ccccc1C[N+](C)(Cc1ccccc1)C,c1cccc(c1)C(O)C(NC)C,c1c[n+](c(n1CC)C)C
C(CCNCCC)O,c1c(cccc1)C(C(C)NC)O,c1cc(c(C)n1C)C,c1ccc(cc1)CN1C(CCC1)CO,C(C)CNCCC,c1ccccc1C(C(NC)C)O
C(N(C(C)C)C(C)C)C,C1CCCC(N(C1)C1CCCCC1)C,c1ccc(cc1)C(N(C)C)C,Cc1c(C)[n+](c(n1C)C)C,C(C(C)NC)(c1ccccc1)O,CCCNCCC
C12CCCCCCC2[N+](C)(C)CCCC1,c1ccc(cc1)C(C(NC)C)O,C(N(CC)CC)C,c1ccccc1CN1CCCC1,C1CCCC[N+]1(CC)C1CC(C)(C)CC1,c1c(cccc1F)CN1CCCC1
C1CCN(Cc2ccccc2)CC1,C(C)C[n+]1ccn(C)c1,c1cccc(c1)CN1CCCC1,C(C1N(CCC1)Cc1ccccc1)O,C(CNCCC)C,C(CNCCC)C
