epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5
C1CCN(C)CCN(C)CCN(C)CCN(C)CCN1,C1CN(CCN(C)CCCN(C)CCCN1C)C,C1CN(CCN(CCN(CCN(CCN(C1)C)C)C)C)C,C1CCC(N)C1,C(CC)NCCC,C1CCCC(N)C1
C1CC(CCC1)N,C(CCCC[N+](C)(C)C)C[N+](C)(C)C,C1CC2CCC1CNC2,C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2,C1C2CCN(CC2)C1,C1CNCCN1
C1C2CC3CC(CC([N+](C)(C)C)(C1)C3)C2,C1C2CC3CC(CC(C3)(N)C2)C1,C1C2CCN(CC2)C1,C1C2CC3CC1([N+](C)(C)C)CC(C3)C2,C1C2CC3CC(CC1(N)C3)C2,C1CNC(CC(N)C1)(C)C
[N+](C)(CC)(CC)CC,C1CC(CC1)N,C1CN(C)CCN(C)CCN(C)CCN(C)CCN1C,C1CCCCCN1,C(CNCCC)C,C1CCC(N)CC1
C1CCC(N(C)CCNC(C)CCNC(CCN1C)C)C,C1CN(CCN(C)CCCN(CCN(C)C1)C)C,C1CN(CCN(CCN(CCN(CCN(C)CCN1C)C)C)C)C,C1CCCCCC1N,C1N(CCN(CCCN(C)CCN(C1)C)C)C,C1CCCC(N)C1
C1CC2CC3CC(CC1C3)C2,C1C(N)CCCC1,C12CC3CC(CC(C2)(C1)N)C3,C12CC3CC(CC(C2)([N+](C)(C)C)C3)C1,C1N2CCN(CC2)C1,C1C2CCN(C1)CC2
C1([N+](C)(C)CCCC1)C,C1CC(C)(CC(NC1)C)N,C1C2CCN(CC2)C1,C12CC3CC(CC(C1)C3)(C2)[n+]1ccn(C23CC4CC(CC(C4)C4)C3)c1,C12CC3CC(CC(C2)([N+](C)(C)C)C3)C1,CC[n+]1cn(cc1)C
C1CCC(CC1)N1CCCC1CN(C)CCN(C)C1,C1C[N+](C)(CCCC[N+]2(C)CCCC2)CC1,C1CN(C)CCN(C)CCN(C)CCN(C)CCN1C,C1CC[N+](C1)(CCCC[N+]1(C)CCCC1)C,C(C)[N+]1(CCCC1)C1CCCCC1,C(CCCCC[N+]1(C)CCCC1)[N+]1(CCCC1)C
C1CC2C3CC([N+](C)(C)C)CC(C1)C3,C1C2(CC3CC(CC(C3)C2)C1)N,C([N+](CC)(CC)CC)CC[N+](CC)(CC)CC,C(CCC[N+](C)(C)C)CCCCC[N+](C)(C)C,C(C)(C)[N+](C)(C)CCCC[N+](C)(CC)C,C(CCCC[N+](C)(C)C)C[N+](C)(C)C
C1CCCCC([N+]1(CCCC1)C)C,C1C2(CC3CC(C2)CC1C3)[N+](C)(C)C,C12CC3CC(CC(C2)(C3)[N+](C)(C)C)C1,C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2,C12CC3([N+](C)(C)C)CC(CC(C2)C3)C1,C12CC3([N+](C)(C)C)CC(CC(C2)C3)C1
