train_loss,train_acc,test_loss,test_acc
3.3408,0.3143,2.8084,0.3544
2.5510,0.3685,2.3831,0.3787
2.2801,0.3789,2.1820,0.3886
2.0885,0.4249,1.9982,0.4530
1.9142,0.4817,1.8407,0.4940
1.7698,0.5109,1.7113,0.5232
1.6527,0.5437,1.6084,0.5764
1.5618,0.5875,1.5286,0.5908
1.4904,0.5919,1.4654,0.5928
1.4331,0.5946,1.4135,0.5959
1.3828,0.5988,1.3668,0.6004
1.3375,0.6049,1.3230,0.6080
1.2959,0.6160,1.2832,0.6217
1.2569,0.6273,1.2468,0.6303
1.2216,0.6368,1.2135,0.6393
1.1897,0.6450,1.1820,0.6468
1.1593,0.6524,1.1536,0.6536
1.1315,0.6598,1.1266,0.6612
1.1043,0.6666,1.0994,0.6671
1.0773,0.6722,1.0735,0.6729
1.0515,0.6781,1.0499,0.6786
1.0288,0.6836,1.0289,0.6829
1.0087,0.6879,1.0093,0.6869
0.9903,0.6914,0.9927,0.6901
0.9731,0.6953,0.9766,0.6940
0.9579,0.6991,0.9622,0.6973
0.9441,0.7017,0.9483,0.6998
0.9300,0.7044,0.9360,0.7023
0.9174,0.7065,0.9242,0.7048
0.9066,0.7093,0.9133,0.7078
