train_loss,train_acc,test_loss,test_acc,train_ce_loss,test_ce_loss,train_info_loss,test_info_loss
1.7779,0.5673,1.4063,0.6650,1.3286,0.9540,4.4929,4.5222
1.2817,0.6981,1.2355,0.7123,0.8323,0.7886,4.4940,4.4688
1.1459,0.7368,1.1570,0.7362,0.6971,0.7085,4.4883,4.4845
1.0729,0.7573,1.1100,0.7470,0.6249,0.6670,4.4803,4.4296
1.0252,0.7700,1.0798,0.7544,0.5795,0.6378,4.4575,4.4193
0.9927,0.7787,1.0597,0.7601,0.5479,0.6150,4.4481,4.4470
0.9696,0.7854,1.0337,0.7666,0.5245,0.5941,4.4510,4.3960
0.9501,0.7906,1.0228,0.7691,0.5066,0.5833,4.4350,4.3953
0.9362,0.7947,1.0135,0.7716,0.4922,0.5734,4.4397,4.4005
0.9239,0.7982,1.0117,0.7733,0.4800,0.5682,4.4382,4.4351
0.9150,0.8011,1.0071,0.7733,0.4701,0.5611,4.4496,4.4602
0.9067,0.8037,1.0064,0.7746,0.4615,0.5567,4.4525,4.4970
0.8994,0.8059,0.9949,0.7759,0.4541,0.5532,4.4532,4.4170
0.8922,0.8079,0.9943,0.7773,0.4475,0.5532,4.4474,4.4106
