train_loss,train_acc,test_loss,test_acc
2.0374,0.4051,1.5889,0.5005
1.4411,0.5470,1.3452,0.5726
1.2204,0.6067,1.1361,0.6276
1.0258,0.6578,0.9923,0.6653
0.8910,0.6964,0.8626,0.7061
0.7945,0.7256,0.7777,0.7336
0.7179,0.7499,0.7405,0.7427
0.6605,0.7679,0.6773,0.7633
0.6183,0.7806,0.6300,0.7770
0.5812,0.7912,0.5923,0.7896
0.5509,0.8001,0.5659,0.7972
0.5258,0.8071,0.5457,0.8023
0.5042,0.8132,0.5347,0.8042
0.4872,0.8182,0.5060,0.8136
0.4707,0.8226,0.4864,0.8201
0.4573,0.8264,0.4725,0.8230
0.4456,0.8293,0.4617,0.8270
0.4352,0.8324,0.4582,0.8261
0.4271,0.8343,0.4415,0.8309
0.4172,0.8374,0.4311,0.8348
