train_loss,train_acc,test_loss,test_acc,train_ce_loss,test_ce_loss,train_info_loss,test_info_loss
1.2230,0.7165,0.9634,0.7954,0.7789,0.5393,4.4418,4.2410
0.9482,0.7994,0.8679,0.8241,0.5057,0.4450,4.4253,4.2296
0.8633,0.8268,0.8160,0.8417,0.4232,0.3938,4.4012,4.2220
0.8191,0.8413,0.7901,0.8509,0.3794,0.3674,4.3970,4.2278
0.7940,0.8493,0.7751,0.8540,0.3542,0.3522,4.3976,4.2290
0.7765,0.8554,0.7596,0.8586,0.3359,0.3373,4.4055,4.2232
0.7645,0.8597,0.7541,0.8598,0.3229,0.3294,4.4160,4.2469
0.7564,0.8627,0.7500,0.8614,0.3134,0.3267,4.4301,4.2334
0.7487,0.8655,0.7429,0.8635,0.3053,0.3189,4.4340,4.2401
0.7420,0.8674,0.7401,0.8636,0.2988,0.3151,4.4316,4.2493
