smiles,Host,metric,binding_energy
CCCCCCCCN,ACO,bfgs,-283.9000494220139
CCCCCCCNC,ACO,bfgs,-279.01153090324897
CCCCN,ACO,bfgs,-254.83083246460941
CCCCNCC,ACO,bfgs,-271.8191611124264
CCCCNCCC,ACO,bfgs,-276.31212950192605
CCCN,ACO,bfgs,-246.55334420860467
CCCNC,ACO,bfgs,-246.50520421616207
CCCNCC,ACO,bfgs,-246.93403964916806
CCCNCCC,ACO,bfgs,-262.5893030511463
CCCNCCCC,ACO,bfgs,-271.81968618546387
CCCNCCCN,ACO,bfgs,-275.9462841361128
CCN,ACO,bfgs,-244.5957534537038
CCNC,ACO,bfgs,-249.7077152039436
CCNCC,ACO,bfgs,-260.0013002296224
CCNCCCC,ACO,bfgs,-262.2523742416329
CCNCCCCC,ACO,bfgs,-275.97945161577945
CCNCCCCCC,ACO,bfgs,-292.21222207180324
CCNCCN,ACO,bfgs,-261.3728228111488
CCNCCNC,ACO,bfgs,-275.7263942641256
CCNCCNCC,ACO,bfgs,-275.0405351454124
CCNCN,ACO,bfgs,-247.3785693475988
CCOCCN,ACO,bfgs,-240.6983481740314
CCOCCOCCOCCOCCOCCN,ACO,bfgs,-346.6388052574023
CCOCCOCCOCCOCCOCCO,ACO,bfgs,-341.4604935102699
CCPCCCC,ACO,bfgs,-272.7327004942407
CN,ACO,bfgs,-229.10759364594222
CNC,ACO,bfgs,-237.60912506641066
CNCC,ACO,bfgs,-249.300784275719
CNCCCC,ACO,bfgs,-264.7446891123483
CNCCCCC,ACO,bfgs,-265.9775536640162
CNCCCCCCCCC,ACO,bfgs,-295.6105244070757
CNCCCCNCC,ACO,bfgs,-275.9634530459995
CNCCCNCC,ACO,bfgs,-271.1724191770403
CNCCCNCCCNCCCCNCCC,ACO,bfgs,-335.6925628317
CNCCNC,ACO,bfgs,-273.8768367987698
CNCCNCC,ACO,bfgs,-270.23884219005197
CNCCNCCC,ACO,bfgs,-274.0828730241476
CNCNCNCNCC,ACO,bfgs,-291.4248539601514
CPCC,ACO,bfgs,-240.92176595556654
NCCCCC,ACO,bfgs,-259.488341499159
NCCCCCC,ACO,bfgs,-262.41781380812847
NCCCCCCC,ACO,bfgs,-278.05266132406905
NCCCCCCCCCC,ACO,bfgs,-294.8220107141226
NCCCCNCC,ACO,bfgs,-274.19592787131114
NCCCN,ACO,bfgs,-254.20513470265976
NCCN,ACO,bfgs,-249.18476630156752
NCCNCCN,ACO,bfgs,-273.64472774818944
NCCNCCNCCN,ACO,bfgs,-303.65619811735155
OCCNCCOCCO,ACO,bfgs,-297.1665252291657
CCCCCCCCN,AEL,bfgs,-716.8447878244988
CCCCCCCNC,AEL,bfgs,-703.744281188362
CCCCN,AEL,bfgs,-679.9456292347732
CCCCNCC,AEL,bfgs,-704.6582112518608
CCCCNCCC,AEL,bfgs,-715.7227469220704
CCCN,AEL,bfgs,-685.7825629555227
CCCNC,AEL,bfgs,-688.3304979239183
CCCNCC,AEL,bfgs,-694.6027871292345
CCCNCCC,AEL,bfgs,-701.4855226926697
CCCNCCCC,AEL,bfgs,-703.3952911729709
CCCNCCCN,AEL,bfgs,-707.1666231617517
CCN,AEL,bfgs,-655.4304988462895
CCNC,AEL,bfgs,-674.3537510730143
CCNCC,AEL,bfgs,-684.9398503596135
CCNCCCC,AEL,bfgs,-699.7406959870918
CCNCCCCC,AEL,bfgs,-698.9694159700518
CCNCCCCCC,AEL,bfgs,-726.8835014772262
CCNCCN,AEL,bfgs,-688.8558230618553
CCNCCNC,AEL,bfgs,-705.5165147981327
CCNCCNCC,AEL,bfgs,-701.2941738501265
CCNCN,AEL,bfgs,-687.5077839626874
CCOCCN,AEL,bfgs,-678.331311551498
CCOCCOCCOCCOCCOCCN,AEL,bfgs,-755.6296609267611
CCOCCOCCOCCOCCOCCO,AEL,bfgs,-764.2007397928089
CCPCCCC,AEL,bfgs,-698.1529514379959
CN,AEL,bfgs,-655.7549810406701
CNC,AEL,bfgs,-660.0322446745663
CNCC,AEL,bfgs,-687.1553909968043
CNCCCC,AEL,bfgs,-668.2704776326311
CNCCCCC,AEL,bfgs,-692.7682859998204
CNCCCCCCCCC,AEL,bfgs,-723.6822848797008
CNCCCCNCC,AEL,bfgs,-736.3244121918872
CNCCCNCC,AEL,bfgs,-704.5645657810244
CNCCCNCCCNCCCCNCCC,AEL,bfgs,-780.6514927366545
CNCCNC,AEL,bfgs,-685.1710204442329
CNCCNCC,AEL,bfgs,-701.1843133175691
CNCCNCCC,AEL,bfgs,-688.1143383948468
CNCNCNCNCC,AEL,bfgs,2963324.9904348585
CPCC,AEL,bfgs,-666.4527154399734
NCCCCC,AEL,bfgs,-690.3816723568625
NCCCCCC,AEL,bfgs,-702.449044588986
NCCCCCCC,AEL,bfgs,-695.6169506046388
NCCCCCCCCCC,AEL,bfgs,-728.724923790134
NCCCCNCC,AEL,bfgs,-695.1150011306281
NCCCN,AEL,bfgs,-673.0249315106405
NCCN,AEL,bfgs,-677.0060239322772
NCCNCCN,AEL,bfgs,-691.8140316261301
NCCNCCNCCN,AEL,bfgs,-698.1363112322526
OCCNCCOCCO,AEL,bfgs,-733.3360141496937
